# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 42
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: 
# Data supplier: 
# Location name: Karskov
# Position (lat, lon, elev(m)): 37, 54, 0
# Local timezone: Europe/Copenhagen
# Time Synchronization: EUROPE/BERLIN
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 0
# SQM hardware identity: B003BNCX
# SQM firmware version: 0-0-0
# SQM cover offset value: 
# SQM readout test ix (Information): 
# SQM readout test rx (Reading): 
# SQM readout test cx (Calibration): 
# SQM readout test Ix (Report Interval): 
# DL time difference: ???
# DL retrieved at (UTC): 2024-06-12T22:02:06.634
# DL trigger seconds : 0
# DL trigger minutes : 0
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.344
# UDM setting: Logged continuously every 1 minute on the minute,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-06-13T02:43:39.711;2024-06-13T04:43:39.711;;;;
2024-06-13T02:44:40.853;2024-06-13T04:44:40.853;;;;
2024-06-13T02:45:41.655;2024-06-13T04:45:41.655;;;;
2024-06-13T02:46:41.170;2024-06-13T04:46:41.170;;;;
2024-06-13T02:48:02.521;2024-06-13T04:48:02.521;;;;
2024-06-13T02:49:03.763;2024-06-13T04:49:03.763;;;;
2024-06-13T02:50:04.987;2024-06-13T04:50:04.987;;;;
2024-06-13T02:51:06.231;2024-06-13T04:51:06.231;;;;
2024-06-13T02:52:27.109;2024-06-13T04:52:27.109;;;;
2024-06-13T02:53:48.036;2024-06-13T04:53:48.036;;;;
2024-06-13T02:55:09.032;2024-06-13T04:55:09.032;;;;
2024-06-13T02:56:10.214;2024-06-13T04:56:10.214;;;;
2024-06-13T02:57:30.860;2024-06-13T04:57:30.860;;;;
2024-06-13T02:58:32.002;2024-06-13T04:58:32.002;;;;
2024-06-13T02:59:52.708;2024-06-13T04:59:52.708;;;;
2024-06-13T03:00:53.498;2024-06-13T05:00:53.498;;;;
2024-06-13T03:01:54.832;2024-06-13T05:01:54.832;;;;
2024-06-13T03:02:56.500;2024-06-13T05:02:56.500;;;;
2024-06-13T03:03:57.845;2024-06-13T05:03:57.845;;;;
2024-06-13T03:04:58.476;2024-06-13T05:04:58.476;;;;
2024-06-13T03:06:00.120;2024-06-13T05:06:00.120;;;;
2024-06-13T03:07:20.953;2024-06-13T05:07:20.953;;;;
2024-06-13T03:08:22.023;2024-06-13T05:08:22.023;;;;
2024-06-13T03:09:40.221;2024-06-13T05:09:40.221;;;;
2024-06-13T03:10:41.347;2024-06-13T05:10:41.347;;;;
2024-06-13T03:12:02.068;2024-06-13T05:12:02.068;;;;
2024-06-13T03:13:03.293;2024-06-13T05:13:03.293;;;;
2024-06-13T03:14:04.672;2024-06-13T05:14:04.672;;;;
2024-06-13T03:15:05.890;2024-06-13T05:15:05.890;;;;
2024-06-13T03:16:06.834;2024-06-13T05:16:06.834;;;;
